,target,type,file_dist_h1,file_dist_h2
1,thousands,mono,0.47,0.88
4,computer,mono,0.47,0.92
10,fish,nn.poly,0.69,1.74
2,pencil,mono,0.72,1.38
3,transistor,mono,0.80,1.20
0,Switzerland,mono,0.83,1.11
6,potato,nn.poly,0.85,2.09
13,tomatoes,nn.poly,0.86,1.58
11,salmon,nn.poly,0.88,2.05
5,door,nn.poly,0.99,1.52
21,duck,nn.poly,0.99,2.20
19,rock,nn.hom,1.00,2.47
24,pupil,nn.hom,1.07,2.39
14,lamb,nn.poly,1.13,2.23
17,power,nn.poly,1.20,2.34
15,chicken,nn.poly,1.38,2.76
18,bank,nn.hom,1.44,3.16
16,can,nv.hom,1.77,2.28
20,books,nv.hom,1.87,2.54
25,tears,nv.hom,1.94,2.96
27,book,nv.hom,1.94,2.75
23,even,adjadv.hom,1.95,2.93
12,like,vprep.hom,1.97,2.08
28,form,nv.hom,2.02,3.09
7,questions,nv.poly,2.04,3.24
30,wind,nv.hom,2.04,3.52
22,dates,nv.hom,2.11,3.52
29,watch,nv.hom,2.22,3.24
26,moves,nv.poly,2.27,2.88
9,thought,nv.poly,2.33,2.75
8,mistakes,nv.poly,2.50,3.63
